JCR Year and Edition: 2012 Social Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
SCI EDUC-NETHERLANDS;0926-7220;542;0.707;;0.062;64;6.6;0.00107;;
SYSTEM;0346-251X;747;0.692;;0.051;39;9.1;0.00148;;
SECOND LANG RES;0267-6583;392;0.690;1.299;0.053;19;>10.0;0.00077;0.508;
INNOV EDUC TEACH INT;1470-3297;298;0.676;0.909;0.000;36;5.8;0.00097;0.318;
TECHNOL PEDAGOG EDUC;1475-939X;125;0.667;;0.053;19;6.8;0.00025;;
QUEST;0033-6297;627;0.661;0.875;0.125;24;>10.0;0.00067;0.217;
HIGH EDUC RES DEV;0729-4360;655;0.648;;0.203;59;8.2;0.00131;;
RES PAP EDUC;0267-1522;256;0.646;;0.062;32;6.8;0.00085;;
LEARN MEDIA TECHNOL;1743-9884;207;0.644;;0.077;26;3.9;0.00095;;
J ADOLESC ADULT LIT;1081-3004;409;0.627;0.886;0.060;67;5.8;0.00162;0.392;
COMP EDUC;0305-0068;399;0.625;0.891;0.200;30;8.8;0.00109;0.456;
J STUD INT EDUC;1028-3153;279;0.611;;0.000;24;5.6;0.00081;;
INT REV RES OPEN DIS;1492-3831;308;0.602;;0.132;68;5.0;0.00074;;
APPL MEAS EDUC;0895-7347;406;0.579;0.740;0.000;17;>10.0;0.00087;0.517;
EDUC REV;0013-1911;390;0.579;0.844;0.071;28;8.0;0.00086;0.364;
BRIT J EDUC STUD;0007-1005;372;0.578;0.963;0.045;22;9.0;0.00110;0.582;
J COLL STUDENT DEV;0897-5264;1163;0.557;1.260;0.034;58;9.9;0.00205;0.535;
PAEDAGOG HIST;0030-9230;209;0.554;0.495;0.000;50;5.3;0.00110;0.284;
LANG EDUC-UK;0950-0782;282;0.550;;0.062;32;7.2;0.00084;;
J SOC WORK EDUC;1043-7797;585;0.548;1.014;0.000;36;>10.0;0.00064;0.251;
TEACH HIGH EDUC;1356-2517;543;0.545;0.912;0.018;57;6.5;0.00152;0.333;
J DIVERS HIGH EDUC;1938-8926;91;0.538;1.049;0.250;16;;0.00049;0.339;
EUR EARLY CHILD EDUC;1350-293X;144;0.537;0.629;0.216;37;4.4;0.00044;0.177;
J MORAL EDUC;0305-7240;388;0.532;0.738;0.000;28;>10.0;0.00068;0.278;
RACE ETHNIC EDUC-UK;1361-3324;270;0.531;;0.118;34;6.6;0.00098;;
TEACH PSYCHOL;0098-6283;609;0.525;0.825;0.077;52;9.2;0.00105;0.258;
BRIT J RELIG EDUC;0141-6200;104;0.512;;0.211;19;5.4;0.00026;;
EUR J EDUC;0141-8211;249;0.507;;0.025;40;6.7;0.00076;;
STUD PHILOS EDUC;0039-3746;210;0.506;;0.049;41;5.5;0.00101;;
ASIA PAC EDUC REV;1598-1037;210;0.500;0.613;0.000;66;4.0;0.00087;0.195;
INT J EDUC VOCAT GUI;0251-2513;108;0.500;;0.231;13;6.0;0.00030;;
J CURRICULUM STUD;0022-0272;564;0.500;0.770;0.361;36;8.8;0.00078;0.237;
RES SCI TECHNOL EDUC;0263-5143;276;0.500;;0.000;19;9.7;0.00030;;
VOCAT LEARN;1874-785X;41;0.500;0.800;0.067;15;;0.00021;0.241;
GENDER EDUC;0954-0253;524;0.495;0.706;0.265;49;7.8;0.00121;0.313;
EDUC STUD-UK;0305-5698;373;0.490;0.634;0.021;47;7.8;0.00090;0.243;
MIND CULT ACT;1074-9039;321;0.486;;0.350;20;>10.0;0.00037;;
TEACH TEACH;1354-0602;367;0.481;;0.024;41;6.5;0.00111;;
DISTANCE EDUC;0158-7919;282;0.478;;0.000;24;7.1;0.00054;;
INT J SCI MATH EDUC;1571-0068;216;0.460;;0.050;60;4.5;0.00078;;
COMPARE;0305-7925;210;0.458;;0.327;49;5.1;0.00089;;
HARVARD EDUC REV;0017-8055;1184;0.458;1.099;0.111;9;>10.0;0.00187;0.754;
EGIT ARAST;1302-597X;244;0.455;0.555;0.081;62;5.3;0.00029;0.065;
J PHILOS EDUC;0309-8249;336;0.446;0.526;0.000;41;7.5;0.00097;0.238;
OXFORD REV EDUC;0305-4985;555;0.446;1.053;0.116;43;7.6;0.00207;0.575;
J BALT SCI EDUC;1648-3898;45;0.444;;0.032;31;;0.00011;;
DISCOURSE-ABINGDON;0159-6306;303;0.443;;0.283;46;5.8;0.00098;;
EDUC PHILOS THEORY;0013-1857;336;0.434;;0.036;83;5.6;0.00124;;
Z ERZIEHWISS;1434-663X;207;0.434;0.464;0.041;74;4.6;0.00071;0.145;
READ WRIT Q;1057-3569;234;0.433;;0.353;17;9.0;0.00055;;
EGIT BILIM;1300-1337;186;0.429;0.475;0.010;100;4.1;0.00025;0.051;
J COMPUT HIGH EDUC;1042-1726;110;0.409;;0.333;9;7.4;0.00022;;
THEOR PRACT;0040-5841;870;0.408;0.725;0.057;35;>10.0;0.00096;0.301;
IRISH EDUC STUD;0332-3315;79;0.405;0.500;0.107;28;;0.00021;0.131;
MUSIC EDUC RES;1461-3808;227;0.404;;0.000;27;7.7;0.00038;;
EDUC CHANGE;1682-3206;70;0.403;0.437;0.091;22;;0.00027;0.113;
EDUC MANAG ADM LEAD;1741-1432;207;0.398;;0.071;42;5.4;0.00064;;
ASIA PAC J EDUC;0218-8791;103;0.397;0.406;0.032;31;4.9;0.00038;0.159;
SCAND J EDUC RES;0031-3831;308;0.397;0.665;0.051;39;7.5;0.00073;0.241;
J LIT RES;1086-296X;213;0.393;0.746;0.125;16;8.9;0.00044;0.356;
ANTHROPOL EDUC QUART;0161-7761;417;0.386;0.598;0.148;27;>10.0;0.00077;0.394;
S AFR J EDUC;0256-0100;170;0.381;0.459;0.200;10;5.7;0.00040;0.119;
MATH THINK LEARN;1098-6065;205;0.379;;0.333;12;6.6;0.00064;;
EDUC URBAN SOC;0013-1245;252;0.373;0.527;0.125;32;9.1;0.00069;0.269;
J EDUC COMPUT RES;0735-6331;626;0.372;;0.077;26;9.7;0.00092;;
URBAN EDUC;0042-0859;455;0.372;0.916;0.250;40;7.9;0.00092;0.295;
EDUC POLICY;0895-9048;334;0.365;0.755;0.061;33;7.6;0.00139;0.514;
INT J INCLUSIVE EDUC;1360-3116;308;0.363;;0.041;74;5.7;0.00080;;
ASIA-PAC J TEACH EDU;1359-866X;196;0.362;0.638;0.000;24;6.7;0.00043;0.211;
LANG POLICY-NETH;1568-4555;86;0.357;;0.235;17;;0.00049;;
READ TEACH;0034-0561;553;0.355;0.678;0.000;65;9.6;0.00104;0.278;
REV ESP PEDAGOG;0034-9461;95;0.353;0.349;0.071;28;;0.00012;0.054;
AUST J EDUC;0004-9441;162;0.351;0.489;0.056;18;9.3;0.00050;0.304;
COMUNICAR;1134-3478;82;0.350;0.293;0.100;40;;0.00013;0.033;
HACET U EGITIM FAK;1300-5340;376;0.350;0.477;0.000;139;7.6;0.00035;0.065;
EDUC GERONTOL;0360-1277;603;0.349;0.630;0.033;91;8.4;0.00091;0.158;
J LEGAL EDUC;0022-2208;151;0.340;0.278;0.000;36;>10.0;0.00018;0.080;
CURRICULUM INQ;0362-6784;269;0.328;0.528;0.077;26;>10.0;0.00061;0.279;
AUST J EARLY CHILD;0312-5033;121;0.317;;0.028;36;6.1;0.00024;;
KURAM UYGUL EGIT BIL;1303-0485;196;0.316;0.446;0.062;176;3.8;0.00030;0.056;
REV EDUC;0034-8082;290;0.309;;0.042;95;5.6;0.00049;;
ADULT EDUC QUART;0741-7136;284;0.308;0.648;0.136;22;>10.0;0.00032;0.202;
CAMB J EDUC;0305-764X;369;0.306;;0.161;31;8.3;0.00088;;
STUD CONTIN EDUC;0158-037X;178;0.297;;0.000;22;8.4;0.00032;;
LITERACY;1741-4350;100;0.294;;0.056;18;4.8;0.00046;;
J LANG IDENTITY EDUC;1534-8458;129;0.286;;0.211;19;7.3;0.00045;;
PORTA LINGUARUM;1697-7467;39;0.280;;0.154;26;;0.00011;;
Z SOZIOL ERZIEH SOZI;1436-1957;43;0.273;0.231;0.000;21;;0.00016;0.077;
Z PADAGOGIK;0044-3247;236;0.260;0.199;0.048;63;9.3;0.00043;0.074;
PEDAGOG STUD;0165-0645;48;0.244;;0.000;15;;0.00010;;
ENSEN CIENC;0212-4521;168;0.238;;0.000;37;>10.0;0.00016;;
KEDI J EDUC POLICY;1739-4341;29;0.235;0.240;0.000;19;;0.00005;0.040;
J ECON EDUC;0022-0485;320;0.227;0.308;0.143;35;>10.0;0.00049;0.162;
CULT EDUC;1135-6405;147;0.224;;0.545;33;7.0;0.00018;;
PHI DELTA KAPPAN;0031-7217;695;0.219;0.223;0.020;102;>10.0;0.00122;0.126;
ENGL TEACH-PRACT CRI;1175-8708;74;0.213;0.244;0.000;27;;0.00030;0.127;
LANG CULT CURRIC;0790-8318;153;0.206;;0.053;19;8.4;0.00033;;
EDUC LEADERSHIP;0013-1784;935;0.192;0.279;0.054;92;>10.0;0.00163;0.171;
HIGH EDUC POLICY;0952-8733;198;0.185;;0.192;26;8.2;0.00056;;
MOVIMENTO-PORTO ALEG;0104-754X;85;0.174;;0.017;58;;0.00002;;
J BELIEFS VALUES;1361-7672;62;0.167;;0.133;30;;0.00020;;
INT J ART DES EDUC;1476-8062;56;0.156;0.196;0.000;21;;0.00011;0.041;
NEW EDUC REV;1732-6729;39;0.149;0.109;0.000;74;;0.00007;0.012;
EDUC ASSESS EVAL ACC;1874-8597;37;0.147;0.679;0.053;19;;0.00032;0.343;
ENGL EDUC-UK;0425-0494;36;0.143;;0.000;16;;0.00008;;
ESE-ESTUD SOBRE EDUC;1578-7001;21;0.133;0.124;0.000;20;;0.00002;0.010;
CROAT J EDUC;1848-5189;4;0.125;0.125;0.000;55;;0.00001;0.010;
REV LAT AM INV MAT E;1665-2436;9;0.125;;0.000;13;;0.00002;;
RIDE-J APPL THEATRE;1356-9783;34;0.120;;0.045;22;;0.00009;;
ENGL AUST;0046-208X;40;0.119;0.153;0.000;16;;0.00003;0.015;
J HOSP LEIS SPORT TO;1473-8376;48;0.113;0.248;;;;0.00012;0.057;
CURRIC MATTERS;1177-1828;6;0.111;0.085;;;;0.00001;0.016;
ODGOJNE ZNAN;1846-1204;18;0.103;0.143;;0;;0.00004;0.022;
AUST EDUC RES;0311-6999;141;0.102;0.445;0.000;28;7.5;0.00031;0.162;
CADMO;1122-5165;5;0.043;0.066;0.000;5;;0.00002;0.022;
AUST J ADULT LEARN;1443-1394;28;0.031;;;;;0.00018;;
RUSS EDUC SOC;1060-9393;31;0.029;0.040;0.000;61;;0.00008;0.013;
EDUC XX1;1139-613X;2;0.023;0.014;0.040;25;;0.00000;0.000;

